000816,智慧农业,Y,Y,Y,Y,Y
000823,超声电子,Y,Y,Y,Y,Y
000825,太钢不锈,Y,Y,Y,Y,Y
000826,启迪桑德,Y,Y,Y,Y,Y
000829,天音控股,Y,Y,Y,Y,Y
000830,鲁西化工,Y,Y,Y,Y,Y
000839,中信国安,Y,Y,Y,Y,Y
000848,承德露露,Y,Y,Y,Y,Y
000851,高鸿股份,Y,Y,Y,Y,Y
000858,五 粮 液,Y,Y,Y,Y,Y
000860,顺鑫农业,Y,Y,Y,Y,Y
000868,安凯客车,Y,Y,Y,Y,Y
000869,张 裕Ａ,Y,Y,Y,Y,Y
000876,新 希 望,Y,Y,Y,Y,Y
000877,天山股份,Y,Y,Y,Y,Y
000878,云南铜业,Y,Y,Y,Y,Y
000883,湖北能源,Y,Y,Y,Y,Y
000887,中鼎股份,Y,Y,Y,Y,Y
000895,双汇发展,Y,Y,Y,Y,Y
000897,津滨发展,Y,Y,Y,Y,Y
000898,鞍钢股份,Y,Y,Y,Y,Y
000901,航天科技,Y,Y,Y,Y,Y
000905,厦门港务,Y,Y,Y,Y,Y
000915,山大华特,Y,Y,Y,Y,Y
000917,电广传媒,Y,Y,Y,Y,Y
000921,海信科龙,Y,Y,Y,Y,Y
000926,福星股份,Y,Y,Y,Y,Y
000930,中粮生化,Y,Y,Y,Y,Y
000937,冀中能源,Y,Y,Y,Y,Y
000938,紫光股份,Y,Y,Y,Y,Y
000939,凯迪生态,Y,Y,Y,Y,Y
000960,锡业股份,Y,Y,Y,Y,Y
000961,中南建设,Y,Y,Y,Y,Y
000963,华东医药,Y,Y,Y,Y,Y
000969,安泰科技,Y,Y,Y,Y,Y
000970,中科三环,Y,Y,Y,Y,Y
000973,佛塑科技,Y,Y,Y,Y,Y
000975,银泰资源,Y,Y,Y,Y,Y
000977,浪潮信息,Y,Y,Y,Y,Y
000979,中弘股份,Y,Y,Y,Y,Y
000983,西山煤电,Y,Y,Y,Y,Y
000988,华工科技,Y,Y,Y,Y,Y
000989,九 芝 堂,Y,Y,Y,Y,Y
000996,中国中期,Y,Y,Y,Y,Y
000997,新 大 陆,Y,Y,Y,Y,Y
000998,隆平高科,Y,Y,Y,Y,Y
000999,华润三九,Y,Y,Y,Y,Y
002001,新 和 成,Y,Y,Y,Y,Y
002004,华邦健康,Y,Y,Y,Y,Y
002005,德豪润达,Y,Y,Y,Y,Y
002007,华兰生物,Y,Y,Y,Y,Y
002008,大族激光,Y,Y,Y,Y,Y
002011,盾安环境,Y,Y,Y,Y,Y
002016,世荣兆业,Y,Y,Y,Y,Y
002022,科华生物,Y,Y,Y,Y,Y
002023,海特高新,Y,Y,Y,Y,Y
002024,苏宁云商,Y,Y,Y,Y,Y
002025,航天电器,Y,Y,Y,Y,Y
002028,思源电气,Y,Y,Y,Y,Y
002029,七 匹 狼,Y,Y,Y,Y,Y
002030,达安基因,Y,Y,Y,Y,Y
002038,双鹭药业,Y,Y,Y,Y,Y
002041,登海种业,Y,Y,Y,Y,Y
002048,宁波华翔,Y,Y,Y,Y,Y
002049,同方国芯,Y,Y,Y,Y,Y
002050,三花股份,Y,Y,Y,Y,Y
002051,中工国际,Y,Y,Y,Y,Y
002055,得润电子,Y,Y,Y,Y,Y
002056,横店东磁,Y,Y,Y,Y,Y
002063,远光软件,Y,Y,Y,Y,Y
002064,华峰氨纶,Y,Y,Y,Y,Y
002065,东华软件,Y,Y,Y,Y,Y
002067,景兴纸业,Y,Y,Y,Y,Y
002070,众和股份,Y,Y,Y,Y,Y
002073,软控股份,Y,Y,Y,Y,Y
002078,太阳纸业,Y,Y,Y,Y,Y
002079,苏州固锝,Y,Y,Y,Y,Y
002081,金 螳 螂,Y,Y,Y,Y,Y
002091,江苏国泰,Y,Y,Y,Y,Y
002092,中泰化学,Y,Y,Y,Y,Y
002093,国脉科技,Y,Y,Y,Y,Y
002095,生 意 宝,Y,Y,Y,Y,Y
002104,恒宝股份,Y,Y,Y,Y,Y
002106,莱宝高科,Y,Y,Y,Y,Y
002108,沧州明珠,Y,Y,Y,Y,Y
002117,东港股份,Y,Y,Y,Y,Y
002118,紫鑫药业,Y,Y,Y,Y,Y
002128,露天煤业,Y,Y,Y,Y,Y
002129,中环股份,Y,Y,Y,Y,Y
002130,沃尔核材,Y,Y,Y,Y,Y
